Recipe and Tag reference

Available Tags:
0: 	untagged
1: 	anysurfacecraft
2: 	cooking
3: 	kilnlarge
4: 	inhandcraft
5: 	metalbandsaw
6: 	grindstone
7: 	canbedonefromfloor
8: 	packing
9: 	canbedoneindark
10: 	primitiveforge
11: 	kilnsmall
12: 	furnace
13: 	dryingrackherb
14: 	removeflesh
15: 	potterywheel
16: 	glassmaking
17: 	advancedfurnace
18: 	forge
19: 	fuelcharcoal
20: 	rightclickonly
21: 	advancedforge
22: 	stone_mill
23: 	health
24: 	standingdrillpress
25: 	primitivefurnace
26: 	weaving
27: 	survivalist
28: 	farming
29: 	handpress
30: 	potterybench
31: 	woodcharcoal
32: 	rippling
33: 	electrical
34: 	pottery
35: 	cannotberesearched
36: 	trapper
37: 	carpentry
38: 	removeresultitems
39: 	churnbucket
40: 	welding
41: 	dryleathersmall
42: 	fishing
43: 	spinningwheel
44: 	scutching
45: 	engineer
46: 	domekiln
47: 	stone_quern
48: 	dryingrackgrain
49: 	canalwaysberesearched
50: 	coffeemachine
51: 	dryleatherlarge
52: 	dryleathermedium
53: 	removefur
54: 	tanleather
55: 	heckling
56: 	toaster

All Recipes:
0: 	SliceBaloney
1: 	FireBrickLarge
2: 	SewFurredHideCoat
3: 	KnitSocks
4: 	MakeAerosolBomb
5: 	CarveWoodenFork
6: 	CutUpIronBandWithBandsaw
7: 	MakeGardenForkHeadWeapon
8: 	SewShirt
9: 	MakeBoneForearmArmor
10: 	Scrap_Smallest_Gold_Object
11: 	SharpenBladeWithGrindstone
12: 	MakeLargeStoneAxeHead2
13: 	OpenBoxOfJars
14: 	Scrap_Small_Copper
15: 	Scrap_Smaller_Silver_Object
16: 	BarbedWireWeapon
17: 	Forge_Fireplace_Poker
18: 	FireMortarAndPestle
19: 	Forge_Bar_From_Chunk
20: 	MakeOatmealCookieDough
21: 	SmeltLargeSteelItem
22: 	SewBear
23: 	DryComfrey
24: 	SliceHam
25: 	open_mac_and_cheese
26: 	RemoveFlesh
27: 	MakeClayBowl
28: 	ChopLog
29: 	MakeBoneArmoredGloves
